Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"La. R.S. 32:393","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-32-sect-393.html","Publish traffic-related convictions to commissioner of Department of Public Safety and Corrections","1","(B), (C), (E)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)|Registration, publication & notification","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"La. R.S. 32:402","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-32-sect-402.html","Impose civil penalty for driving while intoxicated without license (second/subsequent DUI offense)","1","(A)
(B)(1)(a), (b)
(B)(1)(c)(v), (vi)","Additional offense details:
La. R.S. 14:98

See also:
La. R.S.§ 32:408(B)(1)","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Driving & noncommercial motor vehicles","Controlled substances offenses|Motor vehicle offenses","Discretionary","Indefinite"
"La. R.S. 32:407","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-32-sect-407.html","Ineligible for Class E intermediate driving license (minors)","1","(A)(3)(c)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Controlled substances offenses|Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"La. R.S. 32:407","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-32-sect-407.html","Ineligible for full Class E driving privileges (minors)","1","(A)(5)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Controlled substances offenses|Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"La. R.S. 32:414","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-32-sect-414.html","Suspend driver's license","1","(A), (B), (D), (P), (T), (V)
","Additional offense details:
La. R.S. 14:32.8(A)(2)
La. R.S. 14:39.1
La. R.S. 14:100(C)(2)
La. R.S. 30:2531(A)
La. R.S. 30:2531.1
La. R.S. 32:295
La. R.S. 32:80
","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Crimes of violence, including 'person offenses'|Motor vehicle offenses","Mandatory/Automatic","Varies"
"La. R.S. 32:415","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-32-sect-415.html","Extend driver's license suspension (driving with suspended license)","1","All","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)|Business licensure & participation","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"La. R.S. 32:667.1","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-32-sect-667-1.html","Suspend driver's license (vehicular homicide)","1","(D)(1)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Crimes of violence, including 'person offenses'|Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"La. R.S. 32:80","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-32-sect-80.html","Suspend driver's license for passing/overtaking school bus (30 days/no injury caused)","1","(A)(1)
(A)(4)(a)","See also:
La. R.S. 32:414(A)(2)","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Crimes of violence, including 'person offenses'|Motor vehicle offenses","Varies","Time-limited"
"La. R.S. 32:865","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-32-sect-865.html","Revoke motor vehicle registration/suspend driver's license","2","All","Relief:
La. R.S. 32:415.1","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Crimes of violence, including 'person offenses'|Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"La. R.S. 32:896","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-32-sect-896.html","Ineligible to have driver's license reinstated","1","(A)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Controlled substances offenses|Motor vehicle offenses","Mandatory/Automatic","Conditional"
"La. R.S. 33:2412","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-33-sect-2412.html","Deny/discharge from employment with civil service","1","All","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Public employment","Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Crime of moral turpitude","Discretionary","Indefinite"
"La. R.S. 33:41","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-33-sect-41.html","Rescind public contract (public bribery)","1","(A)","Additional offense details:
La. R.S. 14:118","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Government contracting & program participation|Business licensure & participation","Government procurement contracts & programs","Public corruption offenses","Mandatory/Automatic","Indefinite"
"La. R.S. 33:4175","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-33-sect-4175.html","Ineligible for indemnification by New Orleans public power authority","1","(P)","Additional offense details:
La. R.S. 14:134 

Other triggering offenses:
Offenses related to malfeasance in office
","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights|Business licensure & participation|Civil fines, liability, forfeiture & property rights","","Other","Mandatory/Automatic","Indefinite"
"La. R.S. 33:4545.5","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-33-sect-4545-5.html","Ineligible for indemnification by Louisiana Energy and Power Authority","1","All","Additional offense details:
La. R.S. 14:134 

Other triggering offenses:
Offenses related to malfeasance in office
","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights|Business licensure & participation|Civil fines, liability, forfeiture & property rights","","Other","Mandatory/Automatic","Indefinite"
"La. R.S. 35:16","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-35-sect-16.html","Suspend commission as notary public (during felony appeals)","1","(A), (C)","Additional offense details:
La. R.S. 35:15(B), (C)","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation|Employment & volunteering","Court personnel, general legal services & bail bonds","Any felony","Mandatory/Automatic","Indefinite"
"La. R.S. 35:191","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-35-sect-191.html","Ineligible for appointment as notary public","1","(A)(1)(f)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation|Employment & volunteering","Court personnel, general legal services & bail bonds","Any felony","Mandatory/Automatic","Indefinite"
"La. R.S. 35:391","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-35-sect-391.html","Ineligible for appointment as ex officio notary","1","5","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation|Employment & volunteering","Court personnel, general legal services & bail bonds","Any felony","Mandatory/Automatic","Indefinite"
